X,Y
14.945,-0.244
15.556,-0.462
15.556,-0.258
15.556,-0.244
15.556,-0.258
15.569,-0.271
15.569,-0.462
15.637,-0.489
15.637,-0.271
15.651,-0.502
15.651,-0.489
15.678,-0.489
15.678,-0.502
15.692,-0.475
15.692,-0.489
15.705,-0.462
15.705,-0.475
15.719,-0.448
15.719,-0.462
15.732,-0.258
15.732,-0.271
15.732,-0.434
15.732,-0.448
15.746,-0.285
15.746,-0.434
15.99,-0.299
15.99,-0.285
15.99,-0.271
15.99,-0.285
16.058,-0.312
16.058,-0.299
16.058,-0.285
16.058,-0.299
16.099,-0.326
16.099,-0.312
16.099,-0.299
16.099,-0.312
16.126,-0.597
16.126,-0.57
16.126,-0.339
16.126,-0.326
16.126,-0.312
16.126,-0.326
16.14,-0.57
16.14,-0.597
16.14,-0.57
16.14,-0.543
16.153,-0.543
16.153,-0.57
16.153,-0.543
16.153,-0.448
16.153,-0.353
16.153,-0.339
16.153,-0.326
16.153,-0.339
16.167,-0.448
16.167,-0.543
16.167,-0.448
16.167,-0.434
16.18,-0.434
16.18,-0.448
16.18,-0.434
16.18,-0.421
16.194,-0.421
16.194,-0.434
16.194,-0.421
16.194,-0.407
16.194,-0.367
16.194,-0.353
16.194,-0.339
16.194,-0.353
16.207,-0.407
16.207,-0.421
16.207,-0.407
16.207,-0.394
16.221,-0.394
16.221,-0.407
16.221,-0.394
16.221,-0.38
16.235,-0.38
16.235,-0.394
16.235,-0.38
16.235,-0.367
16.235,-0.353
16.235,-0.367
16.37,-0.529
16.37,-0.38
16.384,-0.543
16.384,-0.529
16.384,-0.38
16.384,-0.529
16.398,-0.529
16.398,-0.543
16.696,-0.584
16.696,-0.57
16.71,-0.57
16.71,-0.584
16.71,-0.57
16.71,-0.38
16.723,-0.38
16.723,-0.57
16.75,-0.367
16.75,-0.38
16.75,-0.367
16.75,-0.353
16.9,-0.584
16.9,-0.367
16.913,-0.367
16.913,-0.584
17.361,-0.38
17.361,-0.367
17.361,-0.353
17.361,-0.367
17.429,-0.367
17.429,-0.38
17.429,-0.394
17.429,-0.38
17.443,-0.38
17.443,-0.271
17.456,-0.271
17.456,-0.38
17.47,-0.407
17.47,-0.394
17.47,-0.38
17.47,-0.394
17.483,-0.421
17.483,-0.407
17.483,-0.394
17.483,-0.407
17.511,-0.407
17.511,-0.421
17.511,-0.434
17.511,-0.421
17.619,-0.394
17.619,-0.367
17.633,-0.421
17.633,-0.394
17.633,-0.367
17.633,-0.353
17.646,-0.353
17.646,-0.367
17.646,-0.38
17.646,-0.421
17.66,-0.367
17.66,-0.38
18.23,-0.652
18.23,-0.434
18.244,-0.434
18.244,-0.652
18.257,-0.448
18.257,-0.434
18.271,-0.462
18.271,-0.448
18.271,-0.421
18.271,-0.407
18.271,-0.421
18.271,-0.448
18.284,-0.475
18.284,-0.462
18.284,-0.448
18.284,-0.462
18.298,-0.489
18.298,-0.475
18.298,-0.462
18.298,-0.475
18.311,-0.638
18.311,-0.624
18.311,-0.516
18.311,-0.489
18.311,-0.475
18.311,-0.489
18.325,-0.652
18.325,-0.638
18.325,-0.624
18.325,-0.516
18.339,-0.489
18.339,-0.502
18.339,-0.516
18.339,-0.624
18.339,-0.638
18.339,-0.652
18.352,-0.502
18.352,-0.516
18.352,-0.624
18.352,-0.638
18.569,-0.624
18.569,-0.421
18.583,-0.421
18.583,-0.624
18.841,-0.434
18.841,-0.421
18.841,-0.407
18.841,-0.421
18.882,-0.448
18.882,-0.434
18.882,-0.421
18.882,-0.434
18.936,-0.434
18.936,-0.448
18.936,-0.434
18.936,-0.421
19.017,-0.448
19.017,-0.434
19.017,-0.421
19.017,-0.434
19.085,-0.434
19.085,-0.448
19.085,-0.462
19.085,-0.448
19.248,-0.475
19.248,-0.462
19.248,-0.448
19.248,-0.434
19.262,-0.584
19.262,-0.516
19.262,-0.489
19.262,-0.475
19.262,-0.434
19.262,-0.421
19.275,-0.611
19.275,-0.584
19.275,-0.516
19.275,-0.584
19.275,-0.516
19.275,-0.489
19.275,-0.421
19.275,-0.407
