x_val,y_val
2.795,3.1464
2.795,3.0984
2.795,0.4632
2.795,0.4791
2.795,2.9707
2.795,3.0186
2.811,4.6477
2.811,4.6157
2.811,4.5199
2.811,4.5518
2.811,3.0984
2.811,3.0665
2.811,0.4312
2.811,0.4152
2.811,0.4791
2.811,0.4951
2.811,2.9387
2.811,2.9707
2.8269,4.6157
2.8269,4.5838
2.8269,4.4879
2.8269,4.5199
2.8269,3.0665
2.8269,3.0186
2.8269,0.4472
2.8269,0.4312
2.8269,2.8908
2.8269,2.9387
2.8429,4.5838
2.8429,4.5518
2.8429,4.456
2.8429,4.4879
2.8429,3.0186
2.8429,2.9866
2.8429,0.4951
2.8429,0.5111
2.8429,2.8589
2.8429,2.8908
2.8589,4.5518
2.8589,4.5199
2.8589,4.4241
2.8589,4.456
2.8589,2.9866
2.8589,2.9387
2.8589,0.4632
2.8589,0.4472
2.8589,0.5111
2.8589,0.527
2.8589,2.811
2.8589,2.8589
2.8748,4.5199
2.8748,4.4879
2.8748,4.3921
2.8748,4.4241
2.8748,2.9387
2.8748,2.9068
2.8748,0.4791
2.8748,0.4632
2.8748,0.527
2.8748,0.543
2.8748,2.779
2.8748,2.811
2.8908,4.4879
2.8908,4.472
2.8908,4.3602
2.8908,4.3921
2.8908,2.9068
2.8908,2.8589
2.8908,0.4951
2.8908,0.4791
2.8908,2.7471
2.8908,2.779
2.9068,4.472
2.9068,4.44
2.9068,4.3282
2.9068,4.3602
2.9068,2.8589
2.9068,2.8269
2.9068,0.543
2.9068,0.559
2.9068,2.6992
2.9068,2.7471
2.9228,4.44
2.9228,4.4081
2.9228,4.2963
2.9228,4.3282
2.9228,2.8269
2.9228,2.795
2.9228,0.5111
2.9228,0.4951
2.9228,0.559
2.9228,0.575
2.9228,2.6672
2.9228,2.6992
2.9387,4.4081
2.9387,4.3761
2.9387,4.2643
2.9387,4.2963
2.9387,2.795
2.9387,2.7471
2.9387,0.527
2.9387,0.5111
2.9387,0.575
2.9387,0.5909
2.9387,2.6193
2.9387,2.6672
2.9547,4.3761
2.9547,4.3442
2.9547,4.2324
2.9547,4.2643
2.9547,2.7471
2.9547,2.7151
2.9547,0.543
2.9547,0.527
2.9547,2.5874
2.9547,2.6193
2.9707,4.3442
2.9707,4.3123
2.9707,4.2005
2.9707,4.2324
2.9707,2.7151
2.9707,2.6672
2.9707,0.5909
2.9707,0.6069
2.9707,2.5554
2.9707,2.5874
2.9866,4.3123
2.9866,4.2803
2.9866,4.1845
2.9866,4.2005
2.9866,2.6672
2.9866,2.6353
2.9866,0.559
2.9866,0.543
2.9866,0.6069
2.9866,0.6229
2.9866,2.5075
2.9866,2.5554
3.0026,4.2803
3.0026,4.2484
3.0026,4.1525
3.0026,4.1845
3.0026,2.6353
3.0026,2.6033
3.0026,0.575
3.0026,0.559
3.0026,2.4756
3.0026,2.5075
3.0186,4.2484
3.0186,4.2164
3.0186,4.1206
3.0186,4.1525
3.0186,2.6033
3.0186,2.5554
3.0186,0.6229
3.0186,0.6388
3.0186,2.4276
3.0186,2.4756
3.0346,4.2164
3.0346,4.1845
3.0346,4.0887
3.0346,4.1206
3.0346,2.5554
3.0346,2.5235
3.0346,0.5909
3.0346,0.575
3.0346,2.3957
3.0346,2.4276
3.0505,4.1845
3.0505,4.1525
3.0505,4.0567
3.0505,4.0887
3.0505,2.5235
3.0505,2.4756
3.0505,0.6388
3.0505,0.6548
3.0505,2.3638
3.0505,2.3957
3.0665,4.1525
3.0665,4.1206
3.0665,4.0248
3.0665,4.0567
3.0665,2.4756
3.0665,2.4436
3.0665,0.6069
3.0665,0.5909
3.0665,2.3158
3.0665,2.3638
3.0825,4.1206
3.0825,4.0887
3.0825,3.9928
3.0825,4.0248
3.0825,2.4436
3.0825,2.4117
3.0825,0.6548
3.0825,0.6708
3.0825,2.2839
3.0825,2.3158
3.0984,4.0887
3.0984,4.0727
3.0984,3.9609
3.0984,3.9928
3.0984,2.4117
3.0984,2.3638
3.0984,0.6229
3.0984,0.6069
3.0984,2.252
3.0984,2.2839
3.1144,4.0727
3.1144,4.0407
3.1144,3.9289
3.1144,3.9609
3.1144,2.3638
3.1144,2.3318
3.1144,2.204
3.1144,2.252
3.1304,4.0407
3.1304,4.0088
3.1304,3.897
3.1304,3.9289
3.1304,2.3318
3.1304,2.2999
3.1304,2.1721
3.1304,2.204
3.1464,4.0088
3.1464,3.9769
3.1464,3.8651
3.1464,3.897
3.1464,2.2999
3.1464,2.252
3.1464,2.1402
3.1464,2.1721
3.1623,3.9769
3.1623,3.9449
3.1623,3.8331
3.1623,3.8651
3.1623,2.252
3.1623,2.22
3.1623,0.6388
3.1623,0.6229
3.1623,0.6708
3.1623,0.6868
3.1623,2.1082
3.1623,2.1402
3.1783,3.9449
3.1783,3.913
3.1783,3.8012
3.1783,3.8331
3.1783,2.22
3.1783,2.1881
3.1783,2.0763
3.1783,2.1082
3.1943,3.913
3.1943,3.881
3.1943,3.7692
3.1943,3.8012
3.1943,2.1881
3.1943,2.1561
3.1943,2.0284
3.1943,2.0763
3.2102,3.881
3.2102,3.8491
3.2102,3.7533
3.2102,3.7692
3.2102,2.1561
3.2102,2.1082
3.2102,1.9964
3.2102,2.0284
3.2262,3.8491
3.2262,3.8171
3.2262,3.7213
3.2262,3.7533
3.2262,2.1082
3.2262,2.0763
3.2262,1.9645
3.2262,1.9964
3.2422,3.8171
3.2422,3.7852
3.2422,3.6894
3.2422,3.7213
3.2422,2.0763
3.2422,2.0443
3.2422,1.9325
3.2422,1.9645
3.2582,3.7852
3.2582,3.7533
3.2582,3.6574
3.2582,3.6894
3.2582,2.0443
3.2582,2.0124
3.2582,1.9006
3.2582,1.9325
3.2741,3.7533
3.2741,3.7213
3.2741,3.6255
3.2741,3.6574
3.2741,2.0124
3.2741,1.9804
3.2741,0.6229
3.2741,0.6388
3.2741,0.6868
3.2741,0.6708
3.2741,1.8686
3.2741,1.9006
3.2901,3.7213
3.2901,3.6894
3.2901,3.5936
3.2901,3.6255
3.2901,1.9804
3.2901,1.9485
3.2901,1.8367
3.2901,1.8686
3.3061,3.6894
3.3061,3.6574
3.3061,3.5616
3.3061,3.5936
3.3061,1.9485
3.3061,1.9166
3.3061,1.8048
3.3061,1.8367
3.322,3.6574
3.322,3.6415
3.322,3.5297
3.322,3.5616
3.322,1.9166
3.322,1.8686
3.322,1.7728
3.322,1.8048
3.338,3.6415
3.338,3.6095
3.338,3.4977
3.338,3.5297
3.338,1.8686
3.338,1.8367
3.338,1.7249
3.338,1.7728
3.354,3.6095
3.354,3.5776
3.354,3.4658
3.354,3.4977
3.354,1.8367
3.354,1.8048
3.354,1.693
3.354,1.7249
3.37,3.5776
3.37,3.5456
3.37,3.4338
3.37,3.4658
3.37,1.8048
3.37,1.7728
3.37,0.6069
3.37,0.6229
